exhibit_id,name,author,creation_year,acquisition_year,type,value
116,Aspernatur Optio,Chloe Fleming,1892,1986,grafika,2680459.3
117,Porro Ipsam,Marc John-Hughes,1747,1786,fotografia,4574334.69
118,Sed Corporis,Pieter Stashkov,1966,2011,rzeźba,4743621.16
119,Similique Illo,Mr Connor Jones,1683,1947,instalacja,4987185.42
120,Provident Deleniti,Mr Douglas Kennedy,1531,1802,rzeźba,4608640.89
121,Laudantium Suscipit,Nathan Stewart,2018,2022,instalacja,3172804.59
122,Itaque Occaecati,Rachael Wood,1526,1727,rzeźba,807868.64
123,Porro Error,Stuart Roberts-Ahmed,1781,1800,obraz,295141.17
124,Labore Voluptates,Diana Hall,1595,1619,fotografia,4040531.0
125,Minus Sequi,Louise Woodward,1655,1762,rzeźba,4306337.58
126,Dolore Qui,Pieter Stashkov,1949,2000,instalacja,1279798.94
127,Inventore Quos,Hugh Dean,1854,1970,rzeźba,3082634.72
128,Quae Voluptates,Pieter Stashkov,1698,2003,instalacja,2193207.9
129,Necessitatibus Dolor,Ronald Pearce,1681,1812,instalacja,1876247.03
130,Dolorum Non,Dr Billy Dickinson,1753,1955,instalacja,3057261.23
131,Eius Possimus,Mrs Rosemary Chapman,2003,2017,rzeźba,3341071.96
132,Expedita Quo,Joseph Noble,2005,2025,obraz,3677782.61
133,Officiis Doloribus,Ms Jessica Green,1974,2022,fotografia,2488617.98
134,Animi Expedita,Pieter Stashkov,1933,1982,grafika,4497174.72
135,Debitis Maxime,Andrea Bentley-Burrows,1778,1783,fotografia,3563567.49
136,Soluta Libero,Dr Shane Turner,1679,1756,obraz,4216282.21
137,Quisquam Molestiae,Frank Holden,1959,1961,rzeźba,557688.73
138,Dolor Molestiae,Max Cunningham,1852,2014,rzeźba,4883222.89
139,Commodi Totam,Elliott Phillips,1719,1987,grafika,3540077.03
140,Esse Tempora,Mr James Murray,1873,1878,fotografia,4672069.64
141,Occaecati Veniam,Pieter Stashkov,1836,1890,fotografia,4971272.07
142,Ipsam Quas,Roger Marshall,1647,1982,grafika,4666955.83
143,Labore Iure,Pieter Stashkov,1559,1953,obraz,2363785.74
144,Consequatur Nihil,Peter Webster-Young,1616,1953,rzeźba,4436993.67
145,Alias Libero,Mohammed Lawrence,1624,1665,rzeźba,1246591.47
146,Officia Adipisci,Gemma Austin,1554,1877,grafika,2418207.2
147,Aut Occaecati,Cheryl Richardson-Smith,1958,1962,grafika,2358817.79
148,Unde Quidem,Dr Marcus Ward,1685,1994,rzeźba,2807310.51
149,Perferendis Natus,Dr Gary Dale,1728,1773,rzeźba,4063476.59
150,Labore Quam,Dr Adrian Savage,1883,1958,instalacja,676625.56
151,Iste Voluptas,Connor Morris,1824,1989,rzeźba,234522.98
152,Inventore Quod,Jay Cox,1856,1967,fotografia,3456629.76
153,Magnam Ipsa,Leanne Taylor,1744,1861,rzeźba,843270.28
154,Inventore Iste,Shane Newton,1565,1631,rzeźba,4505603.9
155,Sunt Reiciendis,Suzanne Donnelly,1534,1658,obraz,2944581.85
156,Beatae Quae,Matthew Watson-Matthews,1814,1932,fotografia,1128840.17
157,Ad Omnis,Katy Clark,1944,2018,instalacja,2657494.98
158,Dolore Tempora,Barbara Khan,1680,1831,grafika,2656587.96
159,Dolorum Quisquam,Kenneth Wheeler,1824,1895,rzeźba,2190848.25
160,Culpa Excepturi,Georgia Ferguson-Hill,1811,2000,rzeźba,2443761.9
161,Repudiandae Reprehenderit,Anne Matthews-Carter,1653,1846,obraz,4734393.49
162,Dignissimos Facere,Peter Reeves,1678,1938,obraz,4248333.36
163,Eius Minus,Henry Khan,1591,1745,rzeźba,3207893.27
164,Iste Architecto,Leonard Jones,1926,1961,grafika,1578514.28
165,Soluta Nisi,Claire Davis,1500,1886,rzeźba,3308177.64
166,Quos Veniam,Russell Taylor,1956,2010,obraz,1595042.69
167,Debitis Adipisci,Tracy Giles,1627,1658,grafika,4276590.54
168,Maxime Quos,Anne Booth,1621,1839,grafika,3813968.67
169,Quo Inventore,Justin Parry-Shah,1584,2002,instalacja,2443800.17
170,Sint Voluptas,Pieter Stashkov,1920,2008,obraz,4089821.78
171,Amet Perferendis,Naomi Day,1988,2015,rzeźba,1450677.36
172,Cum Velit,Pieter Stashkov,1600,1628,instalacja,3851377.91
173,Aliquid Temporibus,Stanley Hopkins,1583,1629,rzeźba,3543998.23
174,Eos Nostrum,Pieter Stashkov,1944,1998,rzeźba,3305549.8
175,Architecto Vitae,Pieter Stashkov,1534,1812,obraz,3768194.93
176,Ex Tempore,Mr Joel Armstrong,1816,1828,rzeźba,4541944.48
177,Magnam Nihil,Georgina Thomson,1927,1982,obraz,1759553.69
178,Illo Corporis,Dr James Griffiths,1909,1939,instalacja,2999949.04
179,Eos Commodi,Yvonne Collier,1609,2012,obraz,4315177.45
180,Perspiciatis Provident,Howard Mistry,1861,1977,obraz,2753625.78
181,Officia Esse,Mr Garry Foster,1612,1648,rzeźba,1053213.65
182,Possimus Perspiciatis,Hugh Bennett,1609,1829,grafika,2512209.33
183,Est Asperiores,Laura Khan,1987,2011,obraz,3243469.04
184,Repudiandae Fuga,Neil Evans,1994,2017,instalacja,3755127.57
185,Iusto Nisi,Pieter Stashkov,1543,2007,rzeźba,4342359.03
186,Maiores Laudantium,Glenn Wilson,1584,1623,fotografia,3994502.94
187,Non Non,Pieter Stashkov,1555,1983,rzeźba,1149856.9
188,Commodi Odio,Valerie Smith,2022,2025,rzeźba,3596513.21
189,Harum Voluptatibus,Josephine Peacock,1524,1838,instalacja,1345828.08
190,Doloribus Omnis,Luke Cartwright,1706,2004,rzeźba,4417007.31
191,Quidem Non,Jake Bishop,1962,2014,rzeźba,739339.07
192,Asperiores Qui,Mrs Dorothy Wood,1863,1993,grafika,708840.32
193,Accusantium Distinctio,Dr Trevor Jackson,1881,1953,obraz,4368060.95
194,Ex Ullam,Melissa Hancock,1997,2000,rzeźba,4266506.21
195,Laborum Nostrum,Brenda Ford-Gregory,1718,2021,rzeźba,4019005.22
196,Iusto Autem,Natasha Farmer,1584,1891,grafika,346204.32
197,Numquam Cumque,Miss Amber White,1977,1982,obraz,2320590.46
198,A Voluptatum,Elliot Sharp,1893,1950,obraz,1857432.13
199,Repellendus Nesciunt,Wayne Wong,1662,1665,fotografia,4951024.61
200,Temporibus Rem,Lynn Holt,1638,1924,grafika,1039220.58
201,Consectetur Incidunt,Pieter Stashkov,1651,1778,instalacja,521466.26
202,Dolore Odio,Lindsey Mitchell,1766,2007,instalacja,3068506.71
203,Doloremque Modi,Vincent Black,1670,1911,fotografia,2577834.43
204,Dignissimos Delectus,Ian Scott-Wilson,1795,1803,grafika,4585702.63
205,Amet Repudiandae,Robert Graham-Clarke,1758,2013,rzeźba,1751721.2
206,Excepturi Illum,Pieter Stashkov,1723,1948,rzeźba,1700288.37
207,Debitis Iure,Ms Jennifer Bird,1886,1946,grafika,4715879.14
208,Explicabo Sit,Jayne Birch,1505,1558,fotografia,1318708.17
209,Quaerat Consectetur,Tina Rogers-Patel,1716,1899,instalacja,662907.53
210,Ipsam Cumque,Jayne Davies,1980,2004,grafika,160709.45
211,Dolores Laboriosam,Michelle Slater,1578,1902,obraz,4605311.72
212,Iure Veritatis,Jennifer Bryant,1958,1974,fotografia,2143939.91
213,Maxime Quos,Timothy Evans,1815,1984,obraz,1971762.74
214,Ad Placeat,Grace Hudson,1640,1717,grafika,4974718.0
215,Quod Eos,Conor Rhodes,1994,2018,rzeźba,669204.29
216,Culpa Atque,Jay Shepherd,1940,1992,grafika,629829.75
217,Doloremque Dignissimos,Jamie Scott,1755,1969,fotografia,313576.91
218,Alias Praesentium,Pieter Stashkov,1655,1784,rzeźba,1635837.48
219,Veniam Veniam,James Jennings-Williams,1671,1963,grafika,1144802.8
220,Iusto Eligendi,Donna Hawkins-Brookes,1695,1985,rzeźba,3096471.39
221,Aliquid Atque,Olivia White,1914,2010,grafika,1490522.01
222,Ad Laudantium,Ms Rachel Fry,1943,2001,instalacja,4912586.17
223,Praesentium Enim,Sarah Brookes,1550,1645,fotografia,3616327.35
224,Distinctio Tenetur,Mark Robinson,1680,1838,instalacja,3014366.71
225,Optio Explicabo,John Robinson,2004,2017,obraz,4424480.88
