exhibit_id,name,author,creation_year,acquisition_year,type,value
63,Modi Tenetur,Mr Iain Smith,402,2020,fotografia,332596.65
64,Laboriosam Repudiandae,Annette Johnson,1274,2021,rzeźba,331231.29
65,Ullam Perspiciatis,Vincent Smith-Rhodes,1448,2019,grafika,73605.77
66,Id Id,Pieter Stashkov,1964,2019,fotografia,982548.64
67,Recusandae Maxime,Brandon Johnson,1409,2015,obraz,603902.44
68,Nesciunt Non,Pieter Stashkov,325,2018,rzeźba,4397.37
69,Libero Iure,Hazel Clarke,1894,2024,rzeźba,8110.34
70,Quasi Placeat,Brian Smith,719,2019,instalacja,11247.41
71,Dignissimos Aspernatur,Arthur Walker-Bennett,239,2017,fotografia,102912.84
72,Nesciunt Iure,Brandon Curtis,1728,2019,grafika,9019.06
73,Laborum Ex,Pieter Stashkov,1153,2018,instalacja,307065.47
74,Odit Hic,Maria Frost-Hughes,696,2025,instalacja,3879742.98
75,Impedit Sit,Aaron Thorpe,1193,2023,rzeźba,1451715.34
76,Explicabo Autem,Teresa Barnes,899,2023,grafika,4812.56
77,Qui Quod,Josephine Marsden,1053,2014,obraz,348590.42
78,Tempora Ipsa,Dr Peter Burgess,860,2023,rzeźba,66043.61
79,Id Impedit,Clifford Hope,250,2018,rzeźba,430644.26
80,Rem Eum,Joshua Hargreaves,1052,2019,fotografia,582642.48
81,Repudiandae Consectetur,Pieter Stashkov,888,2014,fotografia,581523.65
82,Quo Est,Geoffrey Cross-Pearce,1871,2020,instalacja,47254.68
83,Vero Labore,Catherine Duffy,300,2023,rzeźba,205175.54
84,Fugiat Minus,Dale Gill,315,2022,rzeźba,98833.13
85,Voluptas Molestias,Stewart Smith,9,2014,fotografia,88419.15
86,Repudiandae Quis,Lynn Hussain-Smith,325,2023,instalacja,813142.58
87,Quo Qui,Pieter Stashkov,901,2022,fotografia,155186.53
88,Esse Sunt,Maria Brown-Chapman,1416,2018,fotografia,86469.38
89,Eius Expedita,Mr Norman Wong,1222,2016,grafika,303172.67
90,Autem Aspernatur,Phillip Moore,2018,2015,grafika,396607.7
91,Consequatur Temporibus,Pieter Stashkov,1253,2025,instalacja,1863408.51
92,Recusandae Impedit,Shannon Jennings,1401,2021,grafika,333823.73
93,Est Eum,Pieter Stashkov,1506,2023,obraz,932113.01
94,Repudiandae Corporis,Tom Gray,843,2014,rzeźba,123420.57
95,Illo Voluptas,Ms Marie Berry,198,2016,grafika,11222.74
96,Accusantium Culpa,Valerie Hawkins,13,2014,instalacja,73615.55
97,Minima Consequuntur,Edward Griffin,1256,2021,obraz,1246178.88
98,Sint Impedit,Pieter Stashkov,2020,2017,obraz,53239.7
99,Totam Vel,Dr Donna Stevens,627,2015,grafika,473416.65
100,Voluptas Rem,Mr Owen Baker,180,2016,grafika,210220.79
101,Ratione Rem,Pieter Stashkov,1182,2015,fotografia,1.18
102,At Exercitationem,Ronald Barton,1478,2023,grafika,333728.42
103,Porro Ea,Miss Maria Carroll,701,2018,fotografia,857679.55
104,Cumque Velit,Emma Richards-Walsh,1857,2019,instalacja,1615567.74
105,Voluptatibus Harum,Guy Woodward,267,2021,fotografia,164018.66
106,Ab Quas,Pieter Stashkov,1265,2014,grafika,111922.47
107,Ipsam Expedita,Janice Stevens,1780,2019,instalacja,620543.6
108,Voluptatum Nostrum,Jayne Jones,1121,2024,fotografia,47354.48
109,Omnis Cupiditate,Pauline Ferguson-Newman,1526,2021,fotografia,349618.82
110,Molestiae Ipsam,Dr Megan Richardson,1898,2017,grafika,1622771.29
111,Impedit Soluta,Anne Harrison,1376,2014,instalacja,183542.75
112,Quis Ullam,Leonard Vaughan-Martin,1664,2024,obraz,226.22
113,Earum A,Dennis Clark,1553,2019,obraz,231673.44
114,Quia Aliquam,Ms Joanna White,215,2024,instalacja,3390823.13
115,Repellendus Nisi,Ms Sarah Clarke,757,2015,rzeźba,224160.2
116,Ea Quos,Mr Vincent Evans,562,2015,rzeźba,7083.04
117,Repellendus Praesentium,Geraldine Brown,1572,2025,fotografia,11436.66
118,Eveniet Assumenda,Georgina Chadwick,753,2016,fotografia,7572.45
119,Illum Nisi,Pieter Stashkov,1119,2015,rzeźba,322031.91
120,Eligendi Provident,Aaron Graham,324,2020,rzeźba,1239562.17
121,Similique Et,Benjamin Singh,387,2022,instalacja,275912.27
122,Veritatis Nesciunt,Tom Savage-Fuller,438,2015,rzeźba,191134.02
123,Aspernatur Facere,Dr Garry Clayton,1759,2023,instalacja,1945460.11
124,Consequuntur Molestiae,Nicole Tucker,1186,2023,grafika,156236.15
125,Officia Et,Gillian Cross,945,2016,grafika,3415.91
126,Corporis Architecto,Mrs Judith King,1608,2019,grafika,13550.35
127,Necessitatibus Porro,Mary Kay-Morley,1773,2022,fotografia,84748.25
128,Quae Omnis,Clare Hewitt,208,2024,rzeźba,280560.3
129,Eligendi Ab,Dr Lydia Davey,317,2020,obraz,25191.88
130,Labore Rem,Pieter Stashkov,1493,2023,grafika,849800.25
131,Officiis Cum,Max Watson,1305,2016,fotografia,164573.34
132,Cupiditate Ipsam,Toby Davies,217,2024,obraz,24407.05
133,Rem Sint,Mr Guy Cook,1071,2015,instalacja,12386.1
134,Hic Cum,Mary Mason-Hobbs,1248,2014,grafika,381066.74
135,Eius Suscipit,George Baker,425,2017,grafika,474500.29
136,Facilis Necessitatibus,Jill Warner,841,2025,grafika,562.41
137,Voluptate Amet,Mrs Amanda Morris,809,2020,fotografia,2224687.29
138,Sapiente Non,Miss Paula Hall,1523,2022,instalacja,33905.47
139,Consequuntur Voluptatem,Jason Warner,1827,2014,obraz,83496.71
140,Vel Autem,Pieter Stashkov,412,2025,fotografia,900506.83
141,Dolorum Quis,Terence Young,1861,2023,rzeźba,510146.25
142,Vel Incidunt,Georgia Parkinson-Collins,1262,2018,rzeźba,789227.04
143,Illum Eligendi,Kim Gray,474,2023,rzeźba,373923.59
144,Quas Explicabo,Jacob Clayton,1610,2024,rzeźba,1152512.11
145,Dignissimos Dicta,Mr Liam Ellis,2019,2015,instalacja,344453.82
146,Accusantium Provident,Abbie Clarke,1018,2025,rzeźba,481802.39
147,Id Dignissimos,Mr Douglas Ward,888,2018,fotografia,31892.15
148,Quibusdam Accusantium,Toby Morgan,1212,2019,rzeźba,112779.83
149,Vel Consectetur,Malcolm Lee,368,2017,rzeźba,568835.65
150,Sunt Vero,Pieter Stashkov,111,2025,grafika,86929.36
151,Blanditiis Earum,Mr Lawrence Stephens,188,2017,instalacja,320501.98
152,Adipisci Aperiam,Suzanne Webb-Bennett,1623,2023,instalacja,348712.13
153,Corrupti Tempora,Henry Porter,596,2019,obraz,2889.17
154,Veniam Est,Emily Preston,1837,2020,instalacja,80408.2
155,Beatae Iure,Timothy Robinson,1975,2020,instalacja,1992095.56
156,Reiciendis Voluptatem,Jacob Mills,251,2023,fotografia,78400.87
157,Sunt Alias,Mr Douglas Armstrong,1088,2018,obraz,93178.7
158,Autem Vitae,Dr Christopher Shepherd,513,2020,instalacja,76822.26
159,Magnam Rem,Dr Denise Carter,1614,2020,fotografia,796840.75
160,Quos Repellat,Paul Hughes,992,2023,fotografia,2518419.3
161,Similique Id,Dale Watson,213,2020,obraz,201093.58
162,Molestias Deserunt,Pieter Stashkov,1757,2025,obraz,32713.8
163,Laudantium Fugit,Gail Johnson,369,2018,rzeźba,2315363.88
164,Saepe Adipisci,Pieter Stashkov,1795,2025,instalacja,50616.54
165,Qui Perferendis,Kim Bentley,1926,2024,fotografia,390811.65
166,Veniam Enim,Mr Stephen May,303,2015,grafika,1171296.36
167,Blanditiis Excepturi,Mrs Rebecca Bell,1417,2018,obraz,866160.11
168,Laboriosam Distinctio,Kenneth Taylor,1087,2016,grafika,8.15
169,Dolor Quasi,Eleanor Pickering,292,2023,fotografia,53361.52
170,Quibusdam Nemo,Carole Wilson-Kirk,1554,2023,instalacja,11134.8
171,Suscipit Delectus,Leonard Bentley,1373,2023,instalacja,1117769.56
172,Excepturi Unde,Maria Foster,1915,2022,instalacja,59750.2
173,Cum Vero,Miss Samantha Walsh,470,2014,obraz,613270.13
174,Repudiandae Dolor,Pieter Stashkov,1975,2022,fotografia,695647.7
175,Unde Quos,Terry Stone,43,2021,obraz,1254616.72
176,Sunt Quod,Richard Wright,936,2022,instalacja,601054.39
177,Voluptates Quaerat,Elliot Booth,1072,2021,rzeźba,647146.35
178,Ducimus Mollitia,Pieter Stashkov,1023,2019,grafika,608445.38
179,Quidem Dolorum,Simon James,1630,2022,grafika,355929.71
180,Repellendus Deserunt,Mr Eric Richardson,909,2014,grafika,175557.23
181,In Consectetur,Rita Gilbert-Smith,1495,2015,fotografia,10939.31
182,Error Molestiae,Rosemary Whitehouse,98,2019,instalacja,92615.41
183,Soluta Dicta,Eric Simpson,793,2019,grafika,457745.74
184,Vitae Nostrum,Dr Aaron Kelly,992,2022,grafika,118438.86
185,Laborum Quaerat,Aaron Bull,1451,2018,instalacja,917584.71
186,Aspernatur Voluptatibus,Mr Tom O'Neill,217,2014,instalacja,416761.69
187,Delectus Eveniet,Ms Ellie Newton,1802,2017,instalacja,368554.23
188,Nulla Quibusdam,Pieter Stashkov,601,2025,instalacja,673369.88
189,At Dolor,Benjamin Roberts,292,2024,fotografia,928737.66
190,Consequuntur Neque,Christian Hall,1984,2014,rzeźba,1060886.38
191,Aliquam Libero,Miss Michelle Booth,800,2017,fotografia,1298034.04
192,Quis Temporibus,Cameron Cross-Bailey,564,2022,grafika,1322091.63
193,Voluptatem Adipisci,Mr Denis Thompson,970,2019,rzeźba,54750.32
194,Accusamus Fugit,Pieter Stashkov,1575,2018,instalacja,5746.54
195,Similique Sapiente,Pieter Stashkov,876,2016,grafika,30494.73
196,Ducimus Perspiciatis,Pieter Stashkov,53,2019,obraz,1112.65
197,Repellat Voluptates,Sean Jenkins,205,2022,instalacja,312026.53
198,Earum Quis,Dawn Miller,951,2015,fotografia,360757.03
199,Debitis Repellendus,Pieter Stashkov,246,2021,obraz,829789.56
200,Assumenda Ad,Dr Norman Price,1076,2018,fotografia,1053702.55
201,Illo Vero,Rachael Lee,1660,2019,obraz,946132.15
202,Porro Maiores,Janet Bennett,1702,2019,grafika,172974.6
203,Laudantium Laborum,Janet Barker,424,2015,instalacja,1087642.01
204,Aliquid Porro,Denise Brown,1871,2015,grafika,242929.35
205,Soluta Cum,Mitchell Hope,970,2024,fotografia,151597.1
206,Molestiae Reprehenderit,Pieter Stashkov,908,2022,grafika,149720.9
207,Explicabo Vel,Eileen Edwards,2015,2021,rzeźba,121759.29
208,Labore Eum,Katy Walker,1988,2017,fotografia,1630996.26
209,Sequi Provident,Pieter Stashkov,606,2020,grafika,86929.01
210,Doloribus Quos,Dr Kayleigh Kirby,597,2019,obraz,1052.51
211,Accusantium Facere,Jodie O'Connor,1017,2017,fotografia,1597930.92
212,Quaerat Optio,Alex Brown,305,2020,fotografia,215855.04
213,Ea Animi,Clare Watkins,507,2018,instalacja,119173.29
214,Explicabo Similique,Brian Pearson,738,2019,obraz,265.73
215,Nesciunt Fugit,Dr Lisa Matthews,1445,2014,fotografia,793006.91
216,Officiis Eos,Harriet Wilkinson,1689,2022,grafika,7699.3
217,Eaque Vitae,Joan Richards,293,2014,obraz,33166.88
218,Accusamus Libero,Zoe Barrett,854,2020,rzeźba,7860.23
219,Veritatis Accusamus,Ricky Harrison,128,2024,obraz,62216.66
220,Modi Quaerat,Eileen Freeman,143,2015,rzeźba,1039486.01
221,Hic Magni,Donald Smith-Carpenter,642,2020,fotografia,204034.31
222,Id Modi,Julian Alexander,631,2015,grafika,179151.52
223,In Excepturi,Dr Damian Thomas,938,2020,obraz,127449.94
224,Iste Nobis,Dr Callum Dixon,352,2023,instalacja,2019507.93
225,Ducimus Numquam,Jacob Houghton,1874,2018,rzeźba,387529.34
